The eagle suffers little birds to sing, And is not careful what they mean therevy. | William Shakespeare, *Titus Andronicus*

No, sir, I do not bite my thumb at you, sir; but I bite my thumb, sir. | William Shakespeare, *Romeo and Juliet*
O then, I see, Queen Mab hath been with you... | William Shakespeare, *Romeo and Juliet*
My only love sprung from my only hate! | William Shakespeare, *Romeo and Juliet*
But, soft! What light through yonder window breaks? It is the east, and Juliet is the sun. | William Shakespeare, *Romeo and Juliet*
How she leans her cheek upon her hand: O that I were a glove upon that hand, That I might touch that cheek. | William Shakespeare, *Romeo and Juliet*
O Romeo, Romeo! Wherefore art thou Romeo? | William Shakespeare, *Romeo and Juliet*
What's in a name? That which we call a rose By any other name would smell as sweet. | William Shakespeare, *Romeo and Juliet*
O gentle Romeo! If thou dost love, pronounce it faithfully... | William Shakespeare, *Romeo and Juliet*
O swear not by the moon, the inconstant moon, That monthly changes in her circled orb... | William Shakespeare, *Romeo and Juliet*
Love goes toward love, as schoolboys from their books; But love from love, toward school with heavy looks. | William Shakespeare, *Romeo and Juliet*
Goodnight, goodnight! Parting is such sweet sorrow That I shall say goodnight till it be morrow. | William Shakespeare, *Romeo and Juliet*
These violent delights have violent ends, And in their triumph die. | William Shakespeare, *Romeo and Juliet*
A plague on both your houses! They have made worms' meat of me. | William Shakespeare, *Romeo and Juliet*
Tempt not a desperate man. | William Shakespeare, *Romeo and Juliet*
No profit grows where is no pleasure taken; In brief, sir, study what you most affect. | William Shakespeare, *Romeo and Juliet*

The fault, dear Brutus, is not in our stars, But in ourselves, that we are underlings. | William Shakespeare, *Julius Caeser*
For mine own part, it was Greek to me. | William Shakespeare, *Julius Caeser*
Let's carve him as a dish fit for the gods, Not hew him as a carcass fit for hounds. | William Shakespeare, *Julius Caeser*
Cowards die many times before their deaths; The valiant never taste of death but once. | William Shakespeare, *Julius Caeser*
O mighty Caeser! Dost thou lie so low? Are all they conquests, glories, triumphs, spoils, Shrunk to this little measure. | William Shakespeare, *Julius Caeser*
Cry 'Havoc!' and let slip the dogs of war. | William Shakespeare, *Julius Caeser*
As he was valiant, I honour him: but as he was ambitious, I slew him. | William Shakespeare, *Julius Caeser*
Not that I loved Caesar less, but that I loved Rome more. | William Shakespeare, *Julius Caeser*
Friends, Romans, countrymen, lend me your ears; I come to bury Caesar not to praise him. | William Shakespeare, *Julius Caeser*
When that the poor have cried, Caesar hath wept; Ambition should be made of sterner stuff. | William Shakespeare, *Julius Caeser*
O judgement! Thou art fled to brutish beasts, And men have lost their reason. | William Shakespeare, *Julius Caeser*

A little more than kin, and less than kind. | William Shakespeare, *Hamlet*
My father's brother, but no more like my father Than I to Hercules. | William Shakespeare, *Hamlet*
Something is rotten in the state of Denmark. | William Shakespeare, *Hamlet*
That one may smile, and smile, and bee a villain; At least I'm sure it may be so in Denmark. | William Shakespeare, *Hamlet*
Do you know me my lord? Excellent well; you are a fishmonger. | William Shakespeare, *Hamlet*
What do you read my lord? Words, words, words. | William Shakespeare, *Hamlet*
Though this be madness, yet there is method in it. | William Shakespeare, *Hamlet*
There is nothing either good or bad, but thinking makes it so. | William Shakespeare, *Hamlet*
I could be bounded in a nutshell and count myself a king of infinite space, were it not that I have bad dreams. | William Shakespeare, *Hamlet*
The play's the thing Wherein I'll catch the conscience of the king. | William Shakespeare, *Hamlet*
To be or not to be: that is the question... | William Shakespeare, *Hamlet*
To sleep: perchance to dream: ay, there's the rub; For in that sleep of death what dreams may come... | William Shakespeare, *Hamlet*
Thus conscience doth make cowards of us all... | William Shakespeare, *Hamlet*
The lady doth protest too much, methinks. | William Shakespeare, *Hamlet*
O my offence is rank, it smells to heaven. | William Shakespeare, *Hamlet*
A bloody deed! Almost as bad, good mother, As kill a king, and marry with his brother. | William Shakespeare, *Hamlet*
When sorrows come, they come not single spies, But in battalions. | William Shakespeare, *Hamlet*
Alas! Poor Yorick. I knew him, Horatio; a fellow of infinite jest... | William Shakespeare, *Hamlet*
The rest is silence. | William Shakespeare, *Hamlet*
Now cracks a noble heart. Goodnight, sweet prince, And flights of angels sing thee to thy rest! | William Shakespeare, *Hamlet*

Men prize the thing ungain'd more than it is. | William Shakespeare, *Trolius and Cressida*

Sir, you are one of those that will not serve God if the devil bid you. | William Shakespeare, *Othello*
To mourn mischief that is past and gone Is the next way to draw new mischief on. | William Shakespeare, *Othello*
The robbed that smiles steals something from the thief. | William Shakespeare, *Othello*
'Tis pride that pulls the country down. | William Shakespeare, *Othello*
He is a soldier fir to stand by Caeser And give direction. | William Shakespeare, *Othello*
I have lost my reputation. I have lost the immortal part of myself, and what remains is bestial. | William Shakespeare, *Othello*
How poor are they that have not patience! What wound did ever heal but by degrees? | William Shakespeare, *Othello*
I humbly do beseech you of your pardon For too much loving you. | William Shakespeare, *Othello*
My heart is turned to stone; I strike it, and it hurts my hand. | William Shakespeare, *Othello*
O, she will sing the savageness out of a bear. | William Shakespeare, *Othello*
You, mistress, That have the office opposite to Saint Peter, And keep the gate of hell! | William Shakespeare, *Othello*
A guiltless death I die. | William Shakespeare, *Othello*
I kissed thee ere I killed thee. | William Shakespeare, *Othello*

Have more than thou showest, Speak less than thou knowest, Lend less than thou owest. | William Shakespeare, *King Lear*
How sharper than a serpent's tooth it is To have a thankless child! | William Shakespeare, *King Lear*
The prince of darkness is a gentlemen. | William Shakespeare, *King Lear*
Things that love night Love not such nights as these. | William Shakespeare, *King Lear*
As flies to wanton boys, are we to the gods; They kill us for their sport. | William Shakespeare, *King Lear*
You are not worth the dust which the rude wind blows in your face. | William Shakespeare, *King Lear*
Upon such sacrifices my Cordelia, The gods themselves throw incense. | William Shakespeare, *King Lear*
The wheel is come full circle. | William Shakespeare, *King Lear*
Speak what we feel; not what we ought to say. | William Shakespeare, *King Lear*

When shall we three meet again In thunder, lightning, or in rain? | William Shakespeare, *Macbeth*
Fair is foul, and foul is fair: Hover through the fog and filthy air. | William Shakespeare, *Macbeth*
You should be women, And yet your beards forbid me to interpret That you are so. | William Shakespeare, *Macbeth*
What! Can the devil speak true? | William Shakespeare, *Macbeth*
Look like the innocent flower, But be the serpent under it. | William Shakespeare, *Macbeth*
If we should fail- We fail! But screw your courage to the sticking place, And we'll not fail. | William Shakespeare, *Macbeth*
Is this a dagger which I see before me, The handle toward my hand? | William Shakespeare, *Macbeth*
